Indicators ,Description,,,,
BCA,Current account balance,,,,
BCA_NGDPD,Current account balance,,,,
BF,Financial account balance,,,,
BFD,"Direct investment, net",,,,
BFF,"Financial derivatives, net",,,,
BFO,"Other investment, net",,,,
BFP,"Portfolio investment, net",,,,
BFRA,Change in reserves,,,,
BM,Imports of goods and services,,,,
BX,Exports of goods and services,,,,
D,"External debt, total",,,,
D_BX,"External debt, total",,,,
D_NGDPD,"External debt, total",,,,
DS,"External debt, total debt service",,,,
DS_BX,"External debt, total debt service",,,,
DS_NGDPD,"External debt, total debt service",,,,
DSI,"External debt, total debt service, interest",,,,
DSI_BX,"External debt, total debt service, interest",,,,
DSI_NGDPD,"External debt, total debt service, interest",,,,
DSP,"External debt, total debt service, amortization",,,,
DSP_BX,"External debt, total debt service, amortization",,,,
DSP_NGDPD,"External debt, total debt service, amortization",,,,
FLIBOR3,Three-month London interbank offered rate (LIBOR),,,,
FLIBOR6,Six-month London interbank offered rate (LIBOR),,,,
GGR,General government revenue,,,,
GGR_NGDP,General government revenue,,,,
GGSB,General government structural balance,,,,
GGSB_NPGDP,General government structural balance,,,,
GGX,General government total expenditure,,,,
GGX_NGDP,General government total expenditure,,,,
GGXCNL,General government net lending/borrowing,,,,
GGXCNL_NGDP,General government net lending/borrowing,,,,
GGXONLB,General government primary net lending/borrowing,,,,
GGXONLB_NGDP,General government primary net lending/borrowing,,,,
GGXWDG,General government gross debt,,,,
GGXWDG_NGDP,General government gross debt,,,,
GGXWDN,General government net debt,,,,
GGXWDN_NGDP,General government net debt,,,,
LE,Employment,,,,
LP,Population,,,,
LUR,Unemployment rate,,,,
NGAP_NPGDP,Output gap,,,,
NGDP,"Gross domestic product, current prices",,,,
NGDP_D,"Gross domestic product, deflator",,,,
NGDP_FY,"Gross domestic product corresponding to fiscal year, current prices",,,,
NGDP_R,"Gross domestic product, constant prices",,,,
NGDP_RPCH,"Gross domestic product, constant prices",,,,
NGDP_RPCHMK,"Gross domestic product, constant prices",,,,
NGDPD,"Gross domestic product, current prices",,,,
NGDPDPC,"Gross domestic product per capita, current prices",,,,
NGDPPC,"Gross domestic product per capita, current prices",,,,
NGDPRPC,"Gross domestic product per capita, constant prices",,,,
NGSD_NGDP,Gross national savings,,,,
NID_NGDP,Investment,,,,
PALLFNFW,Commodity Price Index includes both Fuel and Non-Fuel Price Indices,,,,
PALUM,"Aluminum, 99.5% minimum purity, LME spot price, CIF UK ports, US$ per metric tonne",,,,
PBANSOP,"Bananas, Central American and Ecuador, FOB U.S. Ports, US$ per metric tonne",,,,
PBARL,"Barley, Canadian no.1 Western Barley, spot price, US$ per metric tonne",,,,
PBEEF,"Beef, Australian and New Zealand 85% lean fores, FOB U.S. import price, US cents per pound",,,,
PBEVEW,"Commodity Beverage Price Index includes Coffee, Tea, and Cocoa",,,,
PCEREW,"Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley",,,,
PCOALAU,"Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne",,,,
PCOALSA,"Coal, South African export price, US$ per metric tonne",,,,
PCOALW,Commodity Coal Price Index includes Australian and South African Coal,,,,
PCOCO,"Cocoa beans, International Cocoa Organization cash price, CIF US and European ports, US$ per metric tonne",,,,
PCOFFOTM,"Coffee, Other Mild Arabicas, International Coffee Organization New York cash price, ex-dock New York, US cents per pound",,,,
PCOFFROB,"Coffee, Robusta, International Coffee Organization New York cash price, ex-dock New York, US cents per pound",,,,
PCOFFW,Commodity Coffee Price Index includes Other Mild Arabicas and Robusta,,,,
PCOPP,"Copper, grade A cathode, LME spot price, CIF European ports, US$ per metric tonne",,,,
PCOTTIND,"Cotton, Cotton Outlook `A Index`, Middling 1-3/32 inch staple, CIF Liverpool, US cents per pound",,,,
PCPI,"Inflation, average consumer prices",,,,
PCPIE,"Inflation, end of period consumer prices",,,,
PCPIEPCH,"Inflation, end of period consumer prices",,,,
PCPIPCH,"Inflation, average consumer prices",,,,
PFANDBW,Commodity Food and Beverage Price Index includes Food and Beverage Price Indices,,,,
PFISH,"Fishmeal, Peru Fish meal/pellets 65% protein, CIF, US$ per metric tonne",,,,
PFOODW,"Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices",,,,
PGNUTS,"Groundnuts (peanuts), 40/50 (40 to 50 count per ounce), cif Argentina, US$ per metric tonne",,,,
PHARDW,Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices,,,,
PHIDE,"Hides, Heavy native steers, over 53 pounds, wholesale dealer`s price, US cents per pound",,,,
PINDUW,Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices,,,,
PIORECR,"Iron Ore, China import Iron Ore Fines 62% FE spot (CFR Tianjin port) US$ per metric ton",,,,
PLAMB,"Lamb, frozen carcass Smithfield London, US cents per pound",,,,
PLEAD,"Lead, 99.97% pure, LME spot price, CIF European Ports, US$ per metric tonne",,,,
PLOGORE,"Soft Logs, Average Export price from the U.S. for Douglas Fir, US$ per cubic meter",,,,
PLOGSK,"Hard Logs, Best quality Malaysian meranti, import price Japan, US$ per cubic meter",,,,
PMAIZMT,"Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric tonne",,,,
PMEATW,"Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices",,,,
PMETAW,"Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices",,,,
PNFUELW,Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices,,,,
PNGASEU,"Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas",,,,
